diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
1.79,273.14999999999998,31.228381041666665,0.92972595237084443,0.0097025967525600325,0.17475848605157904,0.0098406689924101232
1.8,273.14999999999998,31.228381041666665,0.92972595237084443,0.010033926111114186,0.17936225231400083,0.010175165189970702
1.81,273.14999999999998,31.228381041666665,0.92972595237084443,0.010374701241818688,0.18407171949255166,0.010519083127567323
1.82,273.14999999999998,31.228381041666665,0.92972595237084443,0.010725143911481478,0.1888889780491585,0.010872633925162498
1.83,273.14999999999998,31.228381041666665,0.92972595237084443,0.011085477462893041,0.1938161917398977,0.011236032231059378
1.84,273.14999999999998,31.228381041666665,0.92972595237084443,0.011455929446284475,0.19885552666008485,0.011609496260996249
1.85,273.14999999999998,31.228381041666665,0.92972595237084443,0.011836734010063809,0.20400921564235702,0.011993247837456422
1.86,273.14999999999998,31.228381041666665,0.92972595237084443,0.012228127553025141,0.2092795179823658,0.012387512429193503
1.87,273.14999999999998,31.228381041666665,0.92972595237084443,0.012630353074522951,0.21466870945011671,0.012792519190972096
1.88,273.14999999999998,31.228381041666665,0.92972595237084443,0.013043658307402582,0.220179117811173,0.013208501003523859
1.89,273.14999999999998,31.228381041666665,0.92972595237084443,0.013468290235386813,0.22581314629535892,0.013635694513718991
1.9,273.14999999999998,31.228381041666665,0.92972595237084443,0.013904508473233159,0.23157315880323334,0.014074340174953107
1.91,273.14999999999998,31.228381041666665,0.92972595237084443,0.014352569274661347,0.23746163915377183,0.014524682287749485
1.92,273.14999999999998,31.228381041666665,0.92972595237084443,0.014812745031319229,0.24348105378581028,0.014986969040576753
1.93,273.14999999999998,31.228381041666665,0.92972595237084443,0.015285301694328544,0.24963394137518538,0.015461452550881929
1.94,273.14999999999998,31.228381041666665,0.92972595237084443,0.015770519063632509,0.25592285686744831,0.015948388906338921
1.95,273.14999999999998,31.228381041666665,0.92972595237084443,0.016268672642506098,0.26235042769615791,0.01644803820631232
1.96,273.14999999999998,31.228381041666665,0.92972595237084443,0.016780056299063636,0.26891928997659859,0.016960664603536686
1.97,273.14999999999998,31.228381041666665,0.92972595237084443,0.017304959213682303,0.27563213388711072,0.017486536346011199
1.98,273.14999999999998,31.228381041666665,0.92972595237084443,0.017843679413312274,0.28249169664467089,0.018025925819109685
1.99,273.14999999999998,31.228381041666665,0.92972595237084443,0.018396520976578783,0.28950077047501577,0.018579109587906074
2.0,273.14999999999998,31.228381041666665,0.92972595237084443,0.018963793115265772,0.29666214816967468,0.01914636843971523
2.01,273.14999999999998,31.228381041666665,0.92972595237084443,0.019545811023795042,0.30397873596465097,0.019727987426849166
2.02,273.14999999999998,31.228381041666665,0.92972595237084443,0.020142899305214346,0.31145339033976932,0.020324255909588747
2.03,273.14999999999998,31.228381041666665,0.92972595237084443,0.020755382109095867,0.31908909266597441,0.02093546759937057
2.04,273.14999999999998,31.228381041666665,0.92972595237084443,0.021383596274559203,0.32688883311356648,0.021561920602189602
2.05,273.14999999999998,31.228381041666665,0.92972595237084443,0.022027881605409624,0.33485565514513393,0.022203917462216751
2.06,273.14999999999998,31.228381041666665,0.92972595237084443,0.022688588144452522,0.34299265249129846,0.022861765205632309
2.07,273.14999999999998,31.228381041666665,0.92972595237084443,0.023366068933997969,0.35130293091427345,0.023535775384674468
2.08,273.14999999999998,31.228381041666665,0.92972595237084443,0.024060683839627783,0.35978970320483206,0.024226264121903238
2.09,273.14999999999998,31.228381041666665,0.92972595237084443,0.024772803200425773,0.36845619881179709,0.024933552154680079
2.1,273.14999999999998,31.228381041666665,0.92972595237084443,0.025502804485074276,0.37730562035904835,0.025657964879862438
2.11,273.14999999999998,31.228381041666665,0.92972595237084443,0.026251064983613678,0.38634135764757954,0.026399832398714216
2.12,273.14999999999998,31.228381041666665,0.92972595237084443,0.02701798499404906,0.39556677496020493,0.027159489562031118
2.13,273.14999999999998,31.228381041666665,0.92972595237084443,0.027803956622755685,0.40498523914235407,0.027937276015481873
2.14,273.14999999999998,31.228381041666665,0.92972595237084443,0.028609387358944572,0.41460023532988949,0.028733536245164403
2.15,273.14999999999998,31.228381041666665,0.92972595237084443,0.029434692859959435,0.42441526569488069,0.029548619623377834
2.16,273.14999999999998,31.228381041666665,0.92972595237084443,0.030280297496911444,0.43443391211355181,0.030382880454609452
2.17,273.14999999999998,31.228381041666665,0.92972595237084443,0.031146633188169785,0.44465974290942062,0.031236678021737522
2.18,273.14999999999998,31.228381041666665,0.92972595237084443,0.032034140941181427,0.455096463621526,0.032110376632449013
2.19,273.14999999999998,31.228381041666665,0.92972595237084443,0.032943265939101886,0.46574771122584019,0.033004345665873236
